agency,program
Department of Energy,Energy Future Grant 
Department of Energy,Grants for Energy Efficiency and Renewable Energy Improvements at Public School Facilities 
Department of Energy,Low Income Energy Affordability Data LEAD Tool 
Department of Energy,State and Local Planning for Energy SLOPE Platform 
Department of Energy,State Energy Program 
Department of Energy,Weatherization Assistance Program Office of Technology Transitions OTT 
Department of Energy,Energy Program for Innovation Clusters EPIC 
Department of Energy,EnergyTech UP 
Department of Energy,Entrepreneurship Program Southeastern Power Administration SEPA 
Department of Energy,Southeastern Power Administration Southwestern Power Administration SWPA 
Department of Energy,Southwestern Power Administration Western Area Power Administration WAPA 
Department of Energy,Western Area Power Administration 
Department of Energy,Western Area Power Purchase of Power and Transmission Services 
Department of Health and Human Services,Agency for Toxic Substances and Disease Registry ATSDR Office of Community Health and Hazard Assessment OCHHA 
Department of Health and Human Services,ATSDR Partnership to Promote Local Efforts to Reduce Environmental Exposure APPLETREE 
Department of Health and Human Services,ATSDR Pediatric Environmental Health Specialty Units PEHSUs 
Department of Health and Human Services,Climate Ready States Initiative CRSI 
Department of Health and Human Services,Flint Lead Exposure Registry Flint Registry National Institutes of Health 
Department of Health and Human Services,National Institute of Environmental Health Sciences NIEHS Environmental Career Worker Training Program ECWTP Administration for Children and Families 
Department of Health and Human Services,Community Economic Development CED 
Department of Health and Human Services,Community Services Block Grant CSBG 
Department of Health and Human Services,Low Income Home Energy Assistance Program LIHEAP 
Department of Health and Human Services,Low Income Household Water Assistance Program LIHWAP 
Department of Health and Human Services,Rural Community Economic Development Program RCD Assistant Secretary for Administration 
Department of Health and Human Services,Federal Real Property Assistance Program FRPAP Indian Health Service 
Department of Health and Human Services,Sanitation Facilities Construction SFC Program 
Department of Homeland Security,Building Resilient Infrastructure and Communities BRIC Program 
Department of Homeland Security,Flood Mitigation Assistance FMA Program 
Department of Homeland Security,Regional Catastrophic Preparedness Grant Program RCPGP 
Department of Homeland Security,Risk Mapping Assessment and Planning Risk MAP Program 
Department of Housing and Urban Development,Choice Neighborhoods 
Department of Housing and Urban Development,Community Development Block Grant Disaster Recovery 
Department of Housing and Urban Development,Community Development Block Grant Entitlement Non Entitlement Grant 
Department of Housing and Urban Development,FHA Mortgage Insurance for Multi Family Rental and Other Housing GI SRI Fund 
Department of Housing and Urban Development,FHA Mortgage Insurance for Single Family Housing MMI Fund 
Department of Housing and Urban Development,HOME Investment Partnerships Program 
Department of Housing and Urban Development,Housing for Persons with Disabilities New Units 
Department of Housing and Urban Development,Housing for the Elderly New Units 
Department of Housing and Urban Development,Housing Trust Fund 
Department of Housing and Urban Development,Lead Hazard Reduction and Healthy Homes Grants Native American Programs 
Department of Housing and Urban Development,Competitive Set Aside for Construction and Rehabilitation 
Department of Housing and Urban Development,Indian Community Development Block Grants 
Department of Housing and Urban Development,Native American Housing Block Grants 
Department of Housing and Urban Development,Title VI Loan Guarantee Program 
Department of Housing and Urban Development,Native Hawaiian Housing Block Grants HUD administers several block grant programs including Community Development Block Grant and Native American Block Grant programs where the program is designed to meet the unique needs of underserved communities including low and moderate income communities HUD plans to report on those programs under the Justice40 framework with the understanding that granular data on benefits may not be possible at the individual household or census tract level HUD administers several rental assistance and affordable housing programs where the program is specially designed to benefit underserved communities HUD plans to report on those programs under the Justice40 framework while ensuring that program applicants and beneficiaries will not be subject to separate reporting requirements 
Department of Housing and Urban Development,Public Housing Health Hazards 
Department of Housing and Urban Development,Rental Assistance Demonstration 
Department of Housing and Urban Development,Self Help and Assisted Homeownership Opportunity Program SHOP 
Department of Housing and Urban Development,Tenant Based Rental Assistance Housing Choice Vouchers 
Department of Housing and Urban Development,Project Based Rental Assistance 
Department of Housing and Urban Development,Public Housing Fund 
Department of Housing and Urban Development,Housing for the Elderly Contract Renewals 
Department of Housing and Urban Development,Housing for Persons with Disabilities Contract Renewals 
Department of Housing and Urban Development,Housing Opportunities for Persons with AIDS 
Department of the Interior,Abandoned Mine Lands Hazardous Materials Management 
Department of the Interior,Orphan Well Program 
Department of the Interior,Seeds for Success Bureau of Reclamation 
Department of the Interior,Authorized Rural Water Projects 
Department of the Interior,Native American Affairs Program 
Department of the Interior,Other Water Infrastructure Activities 
Department of the Interior,Tribal Water Rights Settlements 
Department of the Interior,Water Recycling 
Department of the Interior,Watershed Management Projects 
Department of the Interior,WaterSMART Bureau of Indian Affairs 
Department of the Interior,Climate Environmental and Cultural Resources 
Department of the Interior,Community and Economic Development 
Department of the Interior,Economic Development TPA 
Department of the Interior,Forestry 
Department of the Interior,Geospatial Services 
Department of the Interior,Housing Improvement Program 
Department of the Interior,Indian Water Rights Settlements 
Department of the Interior,Missing and Murdered Indigenous Persons 
Department of the Interior,Office of Trust Services Natural Resources Management 
Department of the Interior,Office of Trust Services Operations of Indian Programs Energy Minerals and Mining Development 
Department of the Interior,Operation of Indian Programs and Construction Water and Power 
Department of the Interior,Safety of Dams Water Sanitation And Other Facilities 
Department of the Interior,Tribal Climate Resilience Adaptation Planning 
Department of the Interior,Tribal Climate Resilience Community Relocation 
Department of the Interior,Tribal Irrigation and Power Systems Bureau of Indian Education 
Department of the Interior,Education Information Technology 
Department of the Interior,Employee Housing 
Department of the Interior,Post Secondary Programs 
Department of the Interior,School Construction Improvement and Repair 
Department of the Interior,School Facility Operations and Maintenance 
Department of the Interior,Student Transportation Bureau of Ocean Energy Management 
Department of the Interior,The Alaska Native Science and Engineering Program Bureau of Safety and Environmental Enforcement 
Department of the Interior,Offshore Orphaned Infrastructure Decommissioning 
Department of the Interior,The Alaska Native Science and Engineering Program Fish and Wildlife Service 
Department of the Interior,Benefits to Private Lands 
Department of the Interior,Fish Passage Improvements 
Department of the Interior,Land Acquisition Species 
Department of the Interior,Urban Wildlife Conservation 
Department of the Interior,Wildlife Conservation Grants 
Department of the Interior,Youth Programs National Park Service 
Department of the Interior,Conservation and Outdoor Recreation 
Department of the Interior,Environmental Management Program EMP 
Department of the Interior,Youth and Volunteer Programs Office of Surface Mining Reclamation and Enforcement 
Department of the Interior,Abandoned Mine Land Economic Revitalization AMLER 
Department of the Interior,Abandoned Mine Reclamation Fund 
Department of the Interior,Abandoned Mine Reclamation Fund Office of Insular Affairs 
Department of the Interior,Brown Tree Snake Control 
Department of the Interior,Capital Improvement Project Grants 
Department of the Interior,Coral Reef Initiative Natural Resources 
Department of the Interior,Energizing Insular Communities 
Department of the Interior,Maintenance Assistance Fund 
Department of the Interior,Technical Assistance Department Wide Programs 
Department of the Interior,Burned Area Rehabilitation 
Department of the Interior,Central Hazardous Materials Fund 
Department of the Interior,Ecosystem Restoration 
Department of the Interior,Emergency Stabilization 
Department of the Interior,Energy Community Revitalization Program 
Department of the Interior,Fire Facilities 
Department of the Interior,Fuels Management 
Department of the Interior,Orphaned Well Site Plugging Remediation And Restoration 
Department of the Interior,Preparedness 
Department of the Interior,Urban Waters 
Department of Labor,Job Corps 
Department of Labor,Reentry Employment Opportunities REO Program 
Department of Labor,Workforce Opportunities in Rural Communities WORC Grant Program 
Department of Labor,YouthBuild Program 
Department of State,International Boundary Waters Commission Construction 
Department of Transportation,Carbon Reduction Program 
Department of Transportation,Charging Fueling Infrastructure Grants 
Department of Transportation,Congestion Mitigation and Air Quality Improvement Program 
Department of Transportation,Congestion Relief Program 
Department of Transportation,Disadvantaged Business Enterprise Supportive Services 
Department of Transportation,National Electric Vehicle Competitive Program 
Department of Transportation,National Electric Vehicle Formula Program 
Department of Transportation,Nationally Significant Federal Lands and Tribal Projects 
Department of Transportation,On the Job Supportive Services 
Department of Transportation,Promoting Resilient Operations for Transformative Efficient and Cost saving Transportation PROTECT 23 USC 176 
Department of Transportation,Protect Grants 23 USC 176 d 
Department of Transportation,Reduction of Truck Emissions at Port Facilities 
Department of Transportation,Transportation Alternatives Surface Transportation Block Grant set aside 
Department of Transportation,Tribal High Priority Projects Program 
Department of Transportation,Tribal Transportation Facility Bridges Bridge Investment Program set aside 
Department of Transportation,Tribal Transportation Facility Bridges Bridge Replacement Rehabilitation Preservation Protection and Construction set aside 
Department of Transportation,Tribal Transportation Program Federal Railroad Administration FRA 
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements 
Department of Transportation,Federal State Partnership for Intercity Passenger Rail 
Department of Transportation,Railroad Crossing Elimination Program Federal Transportation Administration FTA 
Department of Transportation,All Station Accessibility Program ASAP 
Department of Transportation,Buses and Bus Facilities Competitive Program 
Department of Transportation,Buses and Bus Facilities Program Formula 
Department of Transportation,Electric or Low Emitting Ferry Program 
Department of Transportation,Fixed Guideway Capital Investment Grants CIG 
Department of Transportation,Low or No Emission Vehicle Program 
Department of Transportation,Passenger Ferry Grant Program 
Department of Transportation,Innovative Coordinated Access and Mobility Pilot Program 
Department of Transportation,Rural Transit Funding Programs Public Transportation on Indian Reservations Competitive 
Department of Transportation,Transit Oriented Development TOD Planning Program Maritime Administration MARAD 
Department of Transportation,America s Marine Highway Program 
Department of Transportation,Port Infrastructure Development Program Office of the Secretary of Transportation OST 
Department of Transportation,National Infrastructure Project Assistance MEGA 
Department of Transportation,Nationally Significant Multimodal Freight and Highway Projects INFRA 
Department of Transportation,Rebuilding America s Infrastructure with Sustainability and Equity RAISE 
Department of Transportation,Reconnecting Communities Grant Program 
Department of Transportation,Safe Streets Roads for All 
Department of Transportation,SMART Strengthening Mobility and Revolutionizing Transportation 
Department of Transportation,Thriving Communities Program 17
Department of Veterans Affairs,Energy Efficient Mortgages EEM Program 
Environmental Protection Agency,Alaska Native Villages 
Environmental Protection Agency,American Rescue Plan Diesel Emissions Reduction Act DERA rebate program 
Environmental Protection Agency,American Rescue Plan Direct Awards to Air Agencies for Continuous Monitoring of PM2 5 and Other Common Air Pollutants 
Environmental Protection Agency,American Rescue Plan Enhanced Regional Capacity for Short term Community Monitoring Needs 
Environmental Protection Agency,American Rescue Plan Grant Competition for Community Monitoring 
Environmental Protection Agency,Brownfields Projects Program 
Environmental Protection Agency,Categorical Grant Beaches Protection 
Environmental Protection Agency,Categorical Grant Brownfields 
Environmental Protection Agency,Categorical Grant Lead 
Environmental Protection Agency,Categorical Grant Pesticides Program Implementation 
Environmental Protection Agency,Categorical Grant Pollution Prevention P2 
Environmental Protection Agency,Categorical Grant Tribal Air Quality Management 
Environmental Protection Agency,Categorical Grant Wetlands Program Development Grant 
Environmental Protection Agency,Children and Other Sensitive Populations Agency Coordination 
Environmental Protection Agency,Clean School Bus Program 
Environmental Protection Agency,Clean Water State Revolving Fund 
Environmental Protection Agency,Clean Water State Revolving Fund Emerging Contaminants 
Environmental Protection Agency,Compliance Advisor Program 
Environmental Protection Agency,Compliance Monitoring On Site Inspections 
Environmental Protection Agency,Conflict Prevention and Resolution Center CPRC 
Environmental Protection Agency,Diesel Emissions Reductions Act DERA Program 
Environmental Protection Agency,Drinking Water Infrastructure Resiliency and Sustainability Grant Program 
Environmental Protection Agency,Drinking Water State Revolving Fund Emerging Contaminants incl PFAS 
Environmental Protection Agency,Drinking Water State Revolving Fund Lead Service Lines Replacement 
Environmental Protection Agency,Drinking Water State Revolving Fund 
Environmental Protection Agency,Environmental Education 
Environmental Protection Agency,Environmental Information 
Environmental Protection Agency,Environmental Justice Program For the purposes of the Justice40 Initiative this includes the Ports Initiative program 
Environmental Protection Agency,Facilities Infrastructure and Operations clean energy and energy efficiency Buildings and Facilities BF 
Environmental Protection Agency,Facilities Infrastructure and Operations climate 
Environmental Protection Agency,Federal Support for Air Quality Management American Indian Air Quality Training Program 
Environmental Protection Agency,Gulf Hypoxia Program 
Environmental Protection Agency,Lead Risk Reduction Program 
Environmental Protection Agency,Lead Testing in School and Child Care Grant Program 
Environmental Protection Agency,Leaking Underground Storage Tank LUST Underground Storage Tank UST 
Environmental Protection Agency,LUST Cooperative Agreements 
Environmental Protection Agency,Multi Senior Environmental Employment SEE Environmental Programs and Management EPM 
Environmental Protection Agency,Multi SEE Federal Insecticide Fungicide and Rodenticide Act FIFRA 
Environmental Protection Agency,Multi SEE Inspector General IG 
Environmental Protection Agency,Multi SEE Leaking Underground Storage Tanks LUST 
Environmental Protection Agency,Multi SEE Oil Spills OIL 
Environmental Protection Agency,Multi SEE Pesticide Registration Improvement Act PRIA 
Environmental Protection Agency,Multi SEE Science and Technology ST 
Environmental Protection Agency,Multi SEE State Tribal Assistance Grants STAG 
Environmental Protection Agency,Multi SEE Superfund SF 
Environmental Protection Agency,National Estuary Program 
Environmental Protection Agency,Nonpoint Source Section 319 Grant Program 
Environmental Protection Agency,Office of Community Revitalization 
Environmental Protection Agency,Office of Water Geographic Programs 
Environmental Protection Agency,Oil Spill Prevention and Preparedness 
Environmental Protection Agency,Pesticides Protect Human Health from Pesticide Risk 
Environmental Protection Agency,Pesticides Realize the Value of Pesticide Availability 
Environmental Protection Agency,Pollution Prevention P2 Program 
Environmental Protection Agency,Pollution Prevention Grants 
Environmental Protection Agency,Ports Initiative EJ Small Grants 
Environmental Protection Agency,Recycling Education and Outreach Grants 
Environmental Protection Agency,Reduce Risks from Indoor Air 
Environmental Protection Agency,Reduction of Lead in Drinking Water Grant Program 
Environmental Protection Agency,Sewer Overflow Control Grants Program 
Environmental Protection Agency,Small and Disadvantaged Communities Drinking Water Grant Program 
Environmental Protection Agency,Small System Training and Technical Assistance Grant 
Environmental Protection Agency,Solid Waste Infrastructure for Recycling Grants 
Environmental Protection Agency,State and Local Prevention and Preparedness 
Environmental Protection Agency,Superfund Emergency Response and Removal 
Environmental Protection Agency,Superfund Remedial Program 
Environmental Protection Agency,Targeted Airshed Grants 
Environmental Protection Agency,Technical Assistance for Treatment Works Program 
Environmental Protection Agency,Toxics Release Inventory TRI Community Right to Know Program 
Environmental Protection Agency,Tribal General Assistance Program EJ grants relating to the Federal Vehicle Fuels Standards Certifications Program For the purposes of the Justice40 Initiative this program is focusing on removal 
Environmental Protection Agency,US Mexico Border Program 
Environmental Protection Agency,US Mexico Border Water Infrastructure Program 
Environmental Protection Agency,Water Infrastructure Finance and Innovation Act WIFIA Program 
Environmental Protection Agency,Water Infrastructure Improvements for the Nation Small and Underserved Communities Emerging Contaminants Grant Program 
National Aeronautics and Space Administration,Applied Sciences Community Action 
National Aeronautics and Space Administration,Applied Sciences Climate Resilience 
Appalachian Regional Commission, Appalachian Regional Commission Grants 
Delta Regional Authority, Delta Regional Authority Grants 
Denali Commission, Denali Commission Grants 
